Plate_ID,Well_Row,Well_Col,Well,Type,number_of_cells/capsules,Group_1,Group_2,Group_3,Crossing_Time,0.0,0.25,0.5,0.75,1.0,1.25,1.5,1.75,2.0,2.25,2.5,2.75,3.0,3.25,3.5,3.75,4.0,4.25,4.5,4.75,5.0,5.25,5.5,5.75,6.0,6.25,6.5,6.75,7.0,7.25,7.5,7.75
RM5097.96HL.BNCT.1,A,14,A14,unused,,,,,,2601.63,2603.06,2602.56,2605.94,2604.94,2605.12,2605.69,2607.17,2605.4,2607.67,2605.78,2603.74,2606.46,2605.86,2605.29,2606.8,2606.06,2607.51,2607.35,2605.61,2604.35,2605.76,2604.32,2606.68,2608.74,2606.13,2609.36,2605.34,2605.7,2606.97,2606.1,2606.31
RM5097.96HL.BNCT.1,A,15,A15,unused,,,,,,2603.33,2601.57,2604.0,2602.49,2605.37,2604.81,2605.53,2607.2,2606.97,2605.46,2603.85,2606.41,2606.78,2605.57,2607.06,2606.28,2605.76,2607.81,2607.02,2606.57,2605.75,2607.41,2608.22,2606.65,2607.53,2604.96,2608.26,2605.6,2606.12,2605.58,2607.94,2605.84
RM5097.96HL.BNCT.1,A,16,A16,unused,,,,,,2615.46,2615.59,2614.87,2618.6,2619.33,2620.74,2616.7,2619.97,2618.16,2618.2,2617.53,2619.14,2618.12,2616.94,2622.35,2617.44,2619.55,2618.33,2618.32,2620.37,2618.51,2619.05,2622.46,2619.83,2620.15,2624.43,2622.6,2622.02,2619.07,2619.13,2620.3,2620.86
RM5097.96HL.BNCT.1,A,17,A17,unused,,,,,,2628.47,2628.42,2630.45,2631.06,2630.76,2631.92,2630.69,2630.9,2632.44,2632.29,2633.1,2631.03,2632.48,2630.64,2631.33,2632.57,2632.75,2630.46,2628.33,2633.78,2631.11,2631.51,2630.47,2630.05,2633.88,2636.07,2632.66,2630.7,2630.67,2630.22,2633.15,2627.31
RM5097.96HL.BNCT.1,A,18,A18,unused,,,,,,2601.66,2601.02,2601.92,2602.69,2602.03,2603.13,2601.93,2603.78,2600.19,2603.59,2603.73,2605.14,2605.97,2602.13,2604.21,2605.24,2604.14,2605.08,2606.76,2606.68,2603.45,2604.5,2606.21,2605.66,2604.44,2605.46,2605.45,2606.14,2604.57,2605.02,2605.02,2607.78
RM5097.96HL.BNCT.1,A,19,A19,unused,,,,,,2611.54,2612.86,2612.2,2613.27,2615.66,2616.24,2613.28,2616.26,2615.45,2614.93,2616.88,2615.58,2615.0,2612.03,2618.59,2620.02,2617.42,2613.41,2617.71,2617.14,2616.29,2616.54,2617.09,2618.31,2618.18,2617.98,2615.51,2616.34,2617.09,2614.15,2616.72,2617.58
RM5097.96HL.BNCT.1,A,20,A20,unused,,,,,,2603.37,2610.39,2607.7,2608.36,2609.63,2610.17,2608.52,2610.55,2611.77,2612.31,2612.67,2612.81,2612.15,2612.6,2613.04,2612.6,2610.9,2611.93,2615.17,2612.61,2611.21,2610.79,2613.07,2612.97,2615.45,2612.76,2614.55,2613.15,2612.54,2610.9,2614.44,2611.91
RM5097.96HL.BNCT.1,A,21,A21,unused,,,,,,2600.17,2603.42,2604.51,2605.87,2603.46,2608.98,2606.59,2603.51,2606.63,2606.6,2607.42,2606.53,2605.26,2608.27,2605.75,2608.61,2608.65,2606.46,2606.63,2608.11,2605.02,2609.69,2606.57,2605.37,2608.25,2607.01,2606.88,2607.78,2607.61,2606.8,2606.87,2606.05
RM5097.96HL.BNCT.1,A,22,A22,unused,,,,,,2604.78,2605.41,2606.72,2605.1,2606.78,2607.11,2604.74,2608.38,2607.54,2606.12,2608.86,2607.2,2606.0,2606.75,2607.53,2609.05,2605.06,2609.42,2607.49,2610.74,2609.32,2608.55,2607.68,2608.74,2608.98,2609.52,2608.68,2608.8,2608.18,2605.89,2607.5,2607.94
RM5097.96HL.BNCT.1,A,23,A23,unused,,,,,,2631.06,2632.06,2630.63,2631.74,2631.51,2633.87,2630.85,2630.55,2632.11,2632.9,2634.4,2632.35,2633.33,2633.16,2634.28,2633.0,2633.13,2636.03,2633.29,2633.37,2632.49,2632.89,2632.68,2636.33,2632.66,2637.64,2637.54,2635.88,2633.46,2632.89,2633.02,2635.41
