dataset_name,well_id,total_time_ms,curve_fitting_time_ms,threshold_analysis_time_ms,curve_fit_attempts,curve_fit_success,threshold_success,strategy_used,memory_peak_mb
Small BMG Test,D2,20.452208000278915,20.06058299957658,0.22070900013204664,3,True,False,Steep curve fit,144.421875
Small BMG Test,D3,9.699750000436325,8.444584000244504,1.2508330000855494,3,True,True,Standard fit,144.578125
Small BMG Test,E2,10.507791999771143,10.328124999432475,0.17537500025355257,3,True,False,Wide range fit,144.578125
Small BMG Test,E3,8.350250000148662,6.965458000195213,1.3812080014758976,3,True,True,Standard fit,144.59375
Small BMG Test,F2,13.69541700114496,13.541000000259373,0.15079200056788977,3,True,False,Steep curve fit,144.59375
Small BMG Test,F3,10.938207999060978,9.725292000439367,1.209709000249859,3,True,True,Wide range fit,144.609375
Small BMG Test,G2,10.149749999982305,9.983459000068251,0.16275000052701216,3,True,False,Steep curve fit,144.609375
Small BMG Test,G3,11.086667000199668,10.92729199990572,0.15574999997625127,3,True,False,Wide range fit,144.609375
Small BMG Test,H2,16.622541999822715,16.443709000668605,0.17574999947100878,3,True,False,Steep curve fit,144.609375
Small BMG Test,H3,7.973833000505692,6.902791999891633,1.0679169990908122,3,True,True,Steep curve fit,144.6875
Small BMG Test,I2,12.907000000268454,12.100666999685927,0.8030000008147908,3,True,False,Steep curve fit,144.6875
Small BMG Test,I3,18.151249998481944,17.963667000003625,0.17879200095194392,3,True,False,Steep curve fit,144.6875
Small BMG Test,J2,10.143958999833558,9.962833000827231,0.17787500109989196,3,True,False,Wide range fit,144.6875
Small BMG Test,J3,8.849833999192924,7.758207999359001,1.0883329996431712,3,True,True,Wide range fit,144.703125
Small BMG Test,K2,17.344959000183735,17.16004099944257,0.1813750004657777,3,True,False,Wide range fit,144.703125
Small BMG Test,K3,11.219667001569178,11.054041000534198,0.1622910003789002,3,True,False,Steep curve fit,144.703125
Full BMG Test,D2,8.20358400051191,8.038082998609752,0.15629200061084703,3,True,False,Steep curve fit,144.703125
Full BMG Test,D3,7.124957999621984,5.992083000819548,1.1298749996058177,3,True,True,Standard fit,144.703125
Full BMG Test,D4,7.871666999562876,6.796459001634503,1.0720419995777775,3,True,True,Wide range fit,144.71875
Full BMG Test,D5,7.631833999766968,6.59516599989729,1.0335410006518941,3,True,True,Standard fit,144.734375
Full BMG Test,D6,9.531332998449216,9.367208000185201,0.16112500088638626,3,True,False,Steep curve fit,144.734375
Full BMG Test,D7,9.805000001506414,8.80074999986391,1.0011249996750848,3,True,True,Standard fit,144.75
Full BMG Test,D8,9.121458000663552,8.132999999361346,0.9855000007519266,3,True,True,Standard fit,144.75
Full BMG Test,D9,7.969209000293631,6.785083000067971,1.1810830001195427,3,True,True,Wide range fit,144.765625
Full BMG Test,D10,14.662834000773728,14.502999998512678,0.15666699982830323,3,True,False,Wide range fit,144.765625
Full BMG Test,D11,9.335249998912332,8.304458000566228,1.0278330009896308,3,True,True,Steep curve fit,144.765625
Full BMG Test,D12,8.656500000142842,7.640165998964221,1.0132919996976852,3,True,True,Wide range fit,144.765625
Full BMG Test,D13,8.204083000237006,7.157750000260421,1.043250000293483,3,True,True,Wide range fit,144.796875
Full BMG Test,E2,8.752167001148337,8.597666001151083,0.15120900025067385,3,True,False,Wide range fit,144.796875
Full BMG Test,E3,8.053042000028654,6.997958000283688,1.0503329995117383,3,True,True,Standard fit,144.8125
Full BMG Test,E4,8.759709000514704,7.760874999803491,0.9958329992514336,3,True,True,Steep curve fit,144.828125
Full BMG Test,E5,8.275083999251365,7.285333000254468,0.9865840002021287,3,True,True,Standard fit,144.84375
Full BMG Test,E6,8.189500000298722,8.032916000956902,0.15366600018751342,3,True,False,Wide range fit,144.84375
Full BMG Test,E7,7.602291001603589,6.5695419998519355,1.0297089993400732,3,True,True,Wide range fit,144.859375
Full BMG Test,E8,7.5501250012166565,6.557334001627169,0.9897500003717141,3,True,True,Wide range fit,144.859375
Full BMG Test,E9,7.477457998902537,6.442249999963678,1.0323750011593802,3,True,True,Standard fit,144.890625
Full BMG Test,E10,13.998667000123532,13.844125000105123,0.15158399946813006,3,True,False,Wide range fit,144.890625
Full BMG Test,E11,7.314209000469418,6.313999998383224,0.9973750002245652,3,True,True,Wide range fit,144.890625
Full BMG Test,E12,8.885625000402797,7.884167000156594,0.9986249988287454,3,True,True,Standard fit,144.90625
Full BMG Test,E13,7.413957999233389,6.459415999415796,0.9514999983366579,3,True,True,Wide range fit,144.90625
Full BMG Test,F2,13.742082999669947,13.59312500062515,0.1458749993616948,3,True,False,Steep curve fit,144.921875
Full BMG Test,F3,9.521665999272955,8.504583000103594,1.0142500013898825,3,True,True,Wide range fit,144.921875
Full BMG Test,F4,8.320083001308376,7.328666999455891,0.9882499998639105,3,True,True,Wide range fit,144.921875
Full BMG Test,F5,11.847458001284394,10.827500000232249,1.0169590004807105,3,True,True,Steep curve fit,144.9375
Full BMG Test,F6,10.072458000649931,9.926207998432801,0.14333299986901693,3,True,False,Steep curve fit,144.9375
Full BMG Test,F7,10.25866700001643,9.241167001164285,1.014540999676683,3,True,True,Wide range fit,144.953125
Full BMG Test,F8,7.579291999718407,6.5973750006378395,0.9789579999051057,3,True,True,Wide range fit,144.953125
Full BMG Test,F9,8.000582998647587,7.001415999184246,0.9962080002878793,3,True,True,Wide range fit,144.96875
Full BMG Test,F10,16.439750001154607,16.284084000290022,0.152749998960644,3,True,False,Steep curve fit,144.96875
Full BMG Test,F11,9.60175000000163,8.622958999694674,0.9757499992701923,3,True,True,Wide range fit,144.984375
Full BMG Test,F12,8.411332999457954,7.396750001134933,1.0116670000570593,3,True,True,Wide range fit,145.0
Full BMG Test,F13,7.676125000216416,6.690125001114211,0.9829999999055872,3,True,True,Wide range fit,145.0
Full BMG Test,G2,9.822957999858772,9.669833998486865,0.15004200031398796,3,True,False,Steep curve fit,145.0
Full BMG Test,G3,11.17266599976574,11.009042000296176,0.16070799938461278,3,True,False,Wide range fit,145.0
Full BMG Test,G4,13.767750000624801,13.612708999062306,0.152082999193226,3,True,False,Wide range fit,145.0
Full BMG Test,G5,8.783833000052255,7.798291999279172,0.9826660007092869,3,True,True,Wide range fit,145.015625
Full BMG Test,G6,11.14775000132795,11.000541999237612,0.1441669992345851,3,True,False,Steep curve fit,145.015625
Full BMG Test,G7,8.66616599887493,7.667458001378691,0.9958749997167615,3,True,True,Standard fit,145.03125
Full BMG Test,G8,10.090916999615729,9.118083000430488,0.9697910008981125,3,True,True,Standard fit,145.046875
Full BMG Test,G9,8.614708000095561,7.656874999156571,0.954999999521533,3,True,True,Standard fit,145.046875
Full BMG Test,G10,80.49100000062026,80.2774590010813,0.210457999855862,3,True,False,Steep curve fit,145.046875
Full BMG Test,G11,21.988083999531227,20.8773750000546,1.1072500001318986,3,True,True,Wide range fit,145.0625
Full BMG Test,G12,10.112457999639446,9.07958399875497,1.0295830015820684,3,True,True,Wide range fit,145.0625
